pair_id,Alice_basis,Alice_outcome
0,138.12130514896376,-1
1,138.12130514896376,1
2,138.12130514896376,-1
3,84.93717955875263,-1
4,138.12130514896376,-1
5,84.93717955875263,1
6,138.12130514896376,1
7,138.12130514896376,-1
8,84.93717955875263,-1
9,84.93717955875263,1
10,84.93717955875263,1
11,84.93717955875263,1
12,84.93717955875263,1
13,138.12130514896376,1
14,84.93717955875263,-1
15,84.93717955875263,1
16,138.12130514896376,1
17,84.93717955875263,1
18,84.93717955875263,1
19,84.93717955875263,1
20,138.12130514896376,1
21,84.93717955875263,-1
22,138.12130514896376,-1
23,138.12130514896376,-1
24,84.93717955875263,1
25,138.12130514896376,1
26,84.93717955875263,1
27,84.93717955875263,1
28,84.93717955875263,-1
29,84.93717955875263,-1
30,138.12130514896376,-1
31,84.93717955875263,-1
32,84.93717955875263,1
33,84.93717955875263,-1
34,84.93717955875263,-1
35,138.12130514896376,-1
36,84.93717955875263,-1
37,84.93717955875263,-1
38,138.12130514896376,-1
39,84.93717955875263,1
40,138.12130514896376,1
41,84.93717955875263,1
42,138.12130514896376,-1
43,138.12130514896376,1
44,138.12130514896376,-1
45,138.12130514896376,1
46,84.93717955875263,1
47,84.93717955875263,-1
48,138.12130514896376,-1
49,138.12130514896376,-1
50,84.93717955875263,1
51,84.93717955875263,-1
52,84.93717955875263,1
53,84.93717955875263,1
54,138.12130514896376,-1
55,84.93717955875263,-1
56,84.93717955875263,-1
57,84.93717955875263,-1
58,138.12130514896376,-1
59,138.12130514896376,-1
60,84.93717955875263,1
61,84.93717955875263,1
62,84.93717955875263,1
63,84.93717955875263,1
64,84.93717955875263,-1
65,84.93717955875263,-1
66,84.93717955875263,1
67,84.93717955875263,1
68,138.12130514896376,-1
69,84.93717955875263,-1
70,84.93717955875263,1
71,84.93717955875263,1
72,138.12130514896376,1
73,84.93717955875263,-1
74,84.93717955875263,-1
75,84.93717955875263,1
76,138.12130514896376,-1
77,84.93717955875263,-1
78,138.12130514896376,1
79,138.12130514896376,-1
80,84.93717955875263,-1
81,84.93717955875263,-1
82,138.12130514896376,-1
83,138.12130514896376,-1
84,84.93717955875263,1
85,84.93717955875263,-1
86,138.12130514896376,1
87,84.93717955875263,-1
88,84.93717955875263,1
89,138.12130514896376,1
90,138.12130514896376,1
91,138.12130514896376,-1
92,138.12130514896376,1
93,84.93717955875263,1
94,138.12130514896376,-1
95,138.12130514896376,1
96,84.93717955875263,-1
97,138.12130514896376,-1
98,84.93717955875263,1
99,84.93717955875263,1
100,84.93717955875263,1
101,138.12130514896376,1
102,84.93717955875263,-1
103,84.93717955875263,-1
104,138.12130514896376,-1
105,84.93717955875263,1
106,138.12130514896376,-1
107,84.93717955875263,-1
108,84.93717955875263,-1
109,84.93717955875263,1
110,138.12130514896376,1
111,138.12130514896376,1
112,138.12130514896376,-1
113,138.12130514896376,-1
114,138.12130514896376,1
115,84.93717955875263,-1
116,138.12130514896376,1
117,138.12130514896376,-1
118,138.12130514896376,-1
119,138.12130514896376,1
120,138.12130514896376,-1
121,84.93717955875263,1
122,138.12130514896376,1
123,84.93717955875263,-1
124,84.93717955875263,-1
125,84.93717955875263,1
126,84.93717955875263,-1
127,138.12130514896376,-1
128,84.93717955875263,1
129,84.93717955875263,-1
130,138.12130514896376,-1
131,138.12130514896376,1
132,84.93717955875263,1
133,138.12130514896376,1
134,138.12130514896376,1
135,138.12130514896376,-1
136,138.12130514896376,1
137,138.12130514896376,-1
138,84.93717955875263,1
139,138.12130514896376,-1
140,138.12130514896376,1
141,84.93717955875263,1
142,138.12130514896376,-1
143,138.12130514896376,1
144,138.12130514896376,1
145,138.12130514896376,1
146,84.93717955875263,-1
147,138.12130514896376,-1
148,84.93717955875263,-1
149,84.93717955875263,1
150,138.12130514896376,-1
151,138.12130514896376,-1
152,84.93717955875263,-1
153,84.93717955875263,-1
154,84.93717955875263,1
155,84.93717955875263,1
156,138.12130514896376,-1
157,138.12130514896376,1
158,138.12130514896376,-1
159,84.93717955875263,1
160,84.93717955875263,1
161,138.12130514896376,-1
162,84.93717955875263,1
163,84.93717955875263,1
164,138.12130514896376,1
165,138.12130514896376,-1
166,138.12130514896376,-1
167,84.93717955875263,-1
168,84.93717955875263,1
169,138.12130514896376,1
170,138.12130514896376,1
