pair_id,Bob_basis,Bob_outcome
0,161.30641196996532,-1
1,161.30641196996532,1
2,34.97942772230273,1
3,161.30641196996532,1
4,161.30641196996532,-1
5,161.30641196996532,-1
6,34.97942772230273,-1
7,34.97942772230273,1
8,161.30641196996532,1
9,161.30641196996532,-1
10,34.97942772230273,-1
11,34.97942772230273,-1
12,34.97942772230273,1
13,34.97942772230273,-1
14,161.30641196996532,-1
15,34.97942772230273,-1
16,161.30641196996532,1
17,161.30641196996532,-1
18,161.30641196996532,-1
19,34.97942772230273,-1
20,161.30641196996532,1
21,161.30641196996532,1
22,161.30641196996532,-1
23,34.97942772230273,1
24,161.30641196996532,-1
25,34.97942772230273,-1
26,34.97942772230273,-1
27,34.97942772230273,-1
28,161.30641196996532,1
29,161.30641196996532,1
30,161.30641196996532,-1
31,34.97942772230273,1
32,34.97942772230273,-1
33,34.97942772230273,1
34,34.97942772230273,-1
35,161.30641196996532,-1
36,34.97942772230273,1
37,34.97942772230273,-1
38,34.97942772230273,1
39,34.97942772230273,-1
40,34.97942772230273,-1
41,34.97942772230273,-1
42,161.30641196996532,-1
43,161.30641196996532,-1
44,34.97942772230273,1
45,161.30641196996532,-1
46,161.30641196996532,-1
47,34.97942772230273,-1
48,34.97942772230273,1
49,161.30641196996532,-1
50,34.97942772230273,-1
51,34.97942772230273,-1
52,34.97942772230273,-1
53,161.30641196996532,-1
54,34.97942772230273,1
55,161.30641196996532,1
56,34.97942772230273,-1
57,161.30641196996532,1
58,34.97942772230273,1
59,161.30641196996532,-1
60,34.97942772230273,-1
61,161.30641196996532,-1
62,34.97942772230273,-1
63,34.97942772230273,-1
64,161.30641196996532,1
65,34.97942772230273,1
66,34.97942772230273,1
67,34.97942772230273,-1
68,161.30641196996532,-1
69,161.30641196996532,1
70,34.97942772230273,1
71,161.30641196996532,-1
72,34.97942772230273,-1
73,34.97942772230273,-1
74,34.97942772230273,-1
75,34.97942772230273,-1
76,34.97942772230273,-1
77,34.97942772230273,-1
78,34.97942772230273,-1
79,34.97942772230273,1
80,161.30641196996532,1
81,161.30641196996532,1
82,34.97942772230273,1
83,34.97942772230273,-1
84,161.30641196996532,-1
85,161.30641196996532,1
86,34.97942772230273,-1
87,34.97942772230273,1
88,161.30641196996532,-1
89,34.97942772230273,-1
90,161.30641196996532,1
91,34.97942772230273,1
92,34.97942772230273,-1
93,34.97942772230273,-1
94,161.30641196996532,-1
95,34.97942772230273,-1
96,34.97942772230273,-1
97,34.97942772230273,1
98,161.30641196996532,-1
99,34.97942772230273,-1
100,34.97942772230273,1
101,161.30641196996532,1
102,34.97942772230273,-1
103,161.30641196996532,1
104,34.97942772230273,1
105,34.97942772230273,-1
106,161.30641196996532,-1
107,34.97942772230273,1
108,161.30641196996532,1
109,161.30641196996532,1
110,34.97942772230273,-1
111,161.30641196996532,-1
112,34.97942772230273,1
113,161.30641196996532,1
114,34.97942772230273,-1
115,161.30641196996532,1
116,34.97942772230273,-1
117,161.30641196996532,1
118,34.97942772230273,1
119,161.30641196996532,1
120,161.30641196996532,1
121,161.30641196996532,-1
122,34.97942772230273,-1
123,161.30641196996532,1
124,34.97942772230273,-1
125,161.30641196996532,-1
126,34.97942772230273,1
127,161.30641196996532,1
128,34.97942772230273,-1
129,34.97942772230273,1
130,161.30641196996532,-1
131,161.30641196996532,1
132,34.97942772230273,1
133,34.97942772230273,-1
134,34.97942772230273,-1
135,161.30641196996532,1
136,34.97942772230273,-1
137,161.30641196996532,-1
138,161.30641196996532,-1
139,161.30641196996532,-1
140,161.30641196996532,1
141,34.97942772230273,1
